time(ms), id1, x1(mm), y1, z1, id2, x2, y2, z2, id3, x3, y3, z3
28937949.066,0,17.6341,159.994,228.676,1,41.0613,158.534,119,2,-1.49575,185.46,92.3613
28937961.032,0,16.7251,158.147,224.571,1,40.5855,161.504,114.087,2,-1.98543,188.333,88.0069
28937996.967,0,13.9609,158.738,220.071,1,40.0255,167.901,104.489,2,-14.5919,179.157,89.6062
28938057.24,0,38.7837,179.182,81.9695,1,-33.927,171.986,80.8102,2,-3.49284,205.262,59.4016
28938081.005,0,-38.1819,172.097,75.1518,1,38.4531,181.146,73.7337,2,-3.55067,206.048,54.975
28938105.228,0,-39.6955,173.109,69.4896,1,38.4455,182.637,67.4034,2,-3.43674,206.905,50.0963
28938128.949,0,-40.7694,173.329,64.3456,1,38.1758,183.815,62.0787,2,-3.55764,207.261,46.5442
28938141.086,0,-40.7859,174.21,61.5299,1,37.8872,184.113,59.5689,2,-3.86037,207.74,43.7633
28938165.019,0,-41.2819,175.185,56.1285,1,37.0327,184.516,54.3214,2,-4.90372,208.487,37.7048
28938189.041,0,-41.9777,175.879,51.4323,1,35.9823,185.137,49.6006,2,-6.12644,209.006,31.6254
28938213.03,0,-42.5617,176.046,46.835,1,35.1901,185.819,45.1574,2,-7.14101,209.501,27.286
28938225.027,0,-42.7352,176.41,44.8802,1,34.8043,186.344,43.3841,2,-7.48981,209.664,24.7488
28938260.997,0,-43.5982,176.588,39.7328,1,34.0086,187.719,38.2323,2,-8.30911,210.684,20.3026
28938285.216,0,-43.4015,176.745,37.1558,1,33.3749,187.987,35.8398,2,-9.25703,211.874,16.2352
28938309.005,0,-43.4487,177.155,34.9977,1,32.8283,188.757,33.809,2,-9.95849,212.744,13.3515
28938332.994,0,-43.4171,177.62,33.0968,1,32.6286,189.156,31.902,2,-10.2527,213.4,11.2678
28938357.067,0,-43.0619,177.979,31.6919,1,32.7202,189.315,30.3821,2,-10.205,213.969,9.52078
28938380.99,0,-42.8042,178.448,30.2891,1,33.0302,189.765,29.1721,2,-9.8788,214.445,7.90238
28938405.251,0,-42.4414,179.478,29.3891,1,33.4695,190.529,28.2689,2,-9.42683,215.138,7.3233
28938417.111,0,-42.1332,180.052,29.1521,1,33.7477,190.873,27.9925,2,-9.09624,215.604,7.19178
28938453.154,0,-41.1258,181.33,28.2641,1,34.6847,191.897,27.5499,2,-7.86425,216.705,6.40346
28938477.089,0,-40.5781,182.188,27.7566,1,35.2711,192.415,27.3711,2,-7.08875,217.338,6.24156
28938489.238,0,-39.9435,182.608,28.0874,1,35.8553,192.659,27.7796,2,-6.47439,217.81,5.89796
28938525.203,0,37.3127,193.4,28.8683,1,-38.5036,183.816,28.5829,2,-4.84491,219.052,6.0188
28938537.296,0,37.7592,193.955,29.3029,1,-38.0814,184.266,28.7726,2,-4.33166,219.453,6.32399
28938573.121,0,38.5788,194.699,29.2379,1,-37.3553,185.381,28.7514,2,-3.34835,220.281,6.06953
28938597.195,0,39.1848,194.848,30.3219,1,-36.7548,186.021,29.7074,2,-2.66124,220.578,7.24423
28938621.57,0,39.5414,195.057,30.732,1,-36.4998,186.534,30.0262,2,-2.29931,220.989,7.89049
28938633.168,0,39.5349,195.092,30.9161,1,-36.4185,186.764,30.1697,2,-2.2293,221.181,7.92355
28938669.175,0,39.439,195.853,31.1249,1,-36.4224,187.523,30.5454,2,-2.20602,221.699,7.45934
28938681.507,0,39.4085,196.23,31.0967,1,-36.5052,187.821,30.6526,2,-2.29202,221.947,7.32562
28938717.258,0,39.0621,196.968,30.917,1,-36.895,188.401,30.407,2,-2.6823,222.745,7.33731
28938741.251,0,38.6051,197.117,30.524,1,-37.2278,188.781,30.1909,2,-3.15184,223.251,7.58942
28938765.413,0,38.0003,197.359,30.0801,1,-37.6656,189.632,30.0379,2,-3.74422,223.942,7.25068
28938789.266,0,-38.3154,190.274,29.6201,1,37.4651,198.061,29.5185,2,-4.40582,224.732,6.95664
28938813.32,0,-38.992,191.038,29.2836,1,36.8619,198.719,28.9658,2,-5.16277,225.468,6.69679
28938837.244,0,-39.6925,191.805,28.9808,1,36.1081,199.147,28.3939,2,-5.91011,226.187,6.33109
28938861.212,0,-40.4011,192.95,28.7731,1,35.3601,200.374,28.0948,2,-6.61284,227.244,5.9457
28938873.255,0,-40.741,193.371,28.561,1,35.0434,200.825,27.9137,2,-6.97701,227.828,6.12926
28938909.246,0,-41.8684,194.967,28.2288,1,33.8758,202.319,27.5052,2,-8.06391,228.974,4.85004
28938933.244,0,-42.6867,196.21,28.0384,1,33.0534,203.35,27.0218,2,-8.86861,229.821,4.49991
28938945.28,0,-43.0637,196.75,27.8932,1,32.7601,203.887,26.769,2,-9.22642,230.054,3.95381
28938969.224,0,-43.6593,197.66,27.6173,1,32.0152,204.865,26.4098,2,-9.98819,230.969,4.15965
28938993.179,0,-44.1834,198.339,27.1867,1,31.4277,205.834,26.0451,2,-10.5742,231.639,3.74747
28939017.327,0,-44.7179,199.074,26.6501,1,30.7665,206.759,25.7738,2,-11.1101,232.314,3.10264
28939053.573,0,-45.1358,200.194,26.2184,1,30.2122,207.883,25.1594,2,-11.6723,233.289,3.10976
28939091.516,0,-45.3437,201.417,25.7376,1,29.9769,208.401,24.4674,2,-11.8234,234.398,2.36007
28939113.359,0,-45.4767,202.465,25.4864,1,29.9215,209.151,24.1204,2,-11.8986,235.32,2.31275
28939149.383,0,-45.6086,203.847,24.9925,1,29.9544,210.117,23.6237,2,-11.9304,236.665,1.99147
28939173.427,0,-45.5334,204.767,24.7858,1,29.9976,210.827,23.5093,2,-11.8252,237.367,1.5463
28939197.391,0,-45.2449,206.027,24.73,1,30.3424,211.575,23.351,2,-11.4573,238.067,1.37501
28939221.387,0,-45.2074,207.02,24.5359,1,30.3793,212.65,23.2646,2,-11.3778,238.992,0.915155
28939245.429,0,-45.1661,208.422,24.2967,1,30.4743,214.102,23.2313,2,-11.2611,240.074,0.674
28939269.403,0,-45.1286,209.539,23.9226,1,30.4782,215.437,23.2997,2,-11.1049,241.263,0.338743
28939293.373,0,-44.8625,210.673,23.9599,1,30.7013,216.358,23.2244,2,-10.8303,242.382,0.0339767
28939317.356,0,-44.6965,211.998,24.0039,1,30.8916,217.36,23.0321,2,-10.6717,243.496,0.538026
28939341.381,0,-44.7549,213.045,23.8091,1,30.8906,218.356,22.892,2,-10.6542,244.386,0.276883
28939365.426,0,-44.9151,214.164,23.6347,1,30.7344,219.562,22.8052,2,-10.7829,245.696,0.405884
28939377.392,0,-45.0269,214.664,23.543,1,30.5839,220.087,22.8285,2,-10.8397,246.061,0.173965
28939401.354,0,-45.0948,215.61,23.4316,1,30.4734,221.363,22.8175,2,-10.9589,247.232,0.481562
28939425.385,0,-45.2524,216.324,23.1681,1,30.341,222.551,22.7283,2,-11.1034,248.139,0.00988519
28939437.359,0,-45.2754,216.748,23.2159,1,30.2329,223.063,22.6871,2,-11.1975,248.471,0.00330222
28939461.362,0,-45.5375,217.755,23.1447,1,30.1636,224.413,22.4303,2,-11.5037,249.147,-0.145037
28939485.544,0,-45.7662,218.208,22.83,1,29.8824,225.114,22.1938,2,-11.779,249.903,-0.869378
28939509.44,0,-46.0569,218.986,22.5055,1,29.5179,225.958,22.0324,2,-12.0561,250.783,-1.23661
28939533.478,0,-46.344,219.822,22.1689,1,29.1751,227.224,22.0871,2,-12.3419,251.716,-0.671846
28939557.383,0,28.8633,228.1,21.9877,1,-46.6531,220.422,21.8067,2,-12.6701,252.83,-0.244214
28939569.466,0,28.6863,228.412,21.8869,1,-46.7583,220.815,21.7878,2,-12.8371,253.409,-0.0895405
28939605.463,0,28.2732,229.473,21.6092,1,-47.1319,221.837,21.4334,2,-13.1711,254.332,-0.856504
28939617.453,0,28.1608,230.03,21.4196,1,-47.2703,222.086,21.353,2,-13.3208,254.43,-1.5313
28939641.866,0,-47.5532,223.097,21.3518,1,28.0014,230.855,20.8929,2,-13.6533,255.126,-1.56234
28939665.502,0,-47.9463,223.613,20.9856,1,27.5673,231.34,20.6779,2,-13.9639,255.626,-1.36214
28939689.528,0,-48.3011,224.27,20.8094,1,27.1271,231.691,20.3014,2,-14.4565,256.438,-1.20967
28939713.489,0,-48.686,224.911,20.598,1,26.8707,232.819,19.888,2,-14.8691,256.876,-1.44478
28939725.496,0,-48.9413,225.326,20.4391,1,26.7445,233.203,19.6589,2,-15.0599,257.001,-1.8569
28939749.486,0,-49.2769,225.638,20.0983,1,26.3127,233.78,19.4501,2,-15.393,257.448,-2.25411
28939773.496,0,-49.8524,226.424,19.7402,1,25.8295,234.281,19.1867,2,-15.8225,258.028,-3.05216
28939797.463,0,-50.2185,227.083,19.4662,1,25.3042,234.742,18.9405,2,-16.24,258.95,-3.29897
28939809.458,0,-50.4129,227.119,19.198,1,25.067,235.199,18.8467,2,-16.4089,259.156,-3.52981
28939833.478,0,-50.8434,227.268,18.6891,1,24.5984,235.69,18.4441,2,-16.8777,259.689,-3.45371
28939857.492,0,-51.2124,227.92,18.481,1,24.2128,235.545,17.8026,2,-17.2404,259.244,-4.22742
28939881.471,0,-51.5894,228.948,18.3049,1,23.8592,235.504,17.1669,2,-17.6676,259.722,-4.72085
28939893.468,0,-51.751,229.263,18.1398,1,23.6832,235.787,16.8972,2,-17.7905,260.142,-4.79661
28939917.513,0,-51.9384,229.496,17.7366,1,23.4195,236.082,16.3287,2,-17.9511,260.927,-5.03995
28939941.596,0,-52.1592,229.473,17.0539,1,23.1459,236.369,15.9213,2,-18.1539,261.805,-5.06159
28939965.576,0,-52.3856,229.85,16.6322,1,23.0355,236.58,15.1789,2,-18.3701,262.75,-5.1705
28939977.537,0,-52.4186,229.748,16.3578,1,22.8623,236.738,15.0929,2,-18.4491,263.393,-5.43862
28940001.532,0,-52.5749,230.366,16.0608,1,22.5337,237.209,14.8255,2,-18.6384,263.88,-5.87773
28940025.599,0,-52.5729,231.007,15.7796,1,22.3674,237.527,14.3304,2,-18.8127,264.854,-6.21954
28940037.727,0,-52.6252,231.281,15.5519,1,22.2878,237.846,14.2608,2,-18.8126,265.226,-6.36726
28940049.59,0,-52.5883,231.74,15.4617,1,22.2553,237.993,14.0493,2,-18.8721,265.549,-6.35319
28940085.734,0,-52.7522,233.231,14.9604,1,22.0077,238.843,13.4248,2,-19.0381,266.573,-6.61513
28940097.976,0,-52.7726,233.91,14.844,1,21.8585,239.562,13.3686,2,-19.1082,267.379,-6.74942
28940133.618,0,-52.9447,236.02,14.5123,1,21.5755,241.038,12.8785,2,-19.2161,268.538,-7.24992
28940157.609,0,-53.0615,237.247,14.1804,1,21.4436,241.826,12.2804,2,-19.3707,269.731,-7.57549
28940181.562,0,-53.1319,238.76,14.0047,1,21.1226,242.667,12.0113,2,-19.6011,271.101,-7.95973
28940205.626,0,-53.1723,239.89,13.7822,1,20.9336,244.03,11.8361,2,-19.6803,272.308,-8.2339
28940229.587,0,-52.9978,240.93,13.6175,1,21.1258,245.072,11.381,2,-19.5558,273.116,-9.4392
28940253.58,0,-52.9754,241.862,12.9915,1,21.4261,246.273,11.0373,2,-19.3268,274.095,-9.51849
28940265.572,0,-52.8787,242.602,12.8973,1,21.4541,246.923,11.0336,2,-19.2409,274.652,-9.4207
28940277.57,0,-52.7348,243.113,12.8464,1,21.5182,247.542,11.0713,2,-19.0763,275.093,-9.61073
28940313.597,0,-52.4448,245.353,12.6314,1,21.7668,249.106,10.8456,2,-18.715,277.492,-10.2849
28940337.718,0,-52.087,246.795,12.5775,1,21.9838,250.572,10.7386,2,-18.4736,278.901,-9.89307
28940361.548,0,-51.9532,247.957,12.1798,1,22.2584,251.857,10.5634,2,-18.2078,280.094,-10.0976
28940373.591,0,-51.6913,248.805,12.1986,1,22.5568,252.483,10.4595,2,-17.9127,280.512,-10.0355
28940397.691,0,-51.0832,249.958,12.1035,1,22.9205,253.639,10.6051,2,-17.3948,281.804,-10.7118
28940421.797,0,-50.7728,251.039,11.7703,1,23.3829,255.109,10.4042,2,-16.9753,282.677,-10.491
28940433.705,0,-50.4493,251.453,11.7052,1,23.6972,255.403,10.3481,2,-16.6605,283.451,-11.0605
28940457.677,0,-49.9162,252.075,11.2302,1,24.1259,256.71,10.151,2,-16.1412,284.81,-11.0852
28940469.703,0,-49.6228,252.292,11.0295,1,24.4084,257.21,10.0642,2,-15.8566,284.955,-11.4607
28940493.685,0,-49.3039,252.902,10.4158,1,24.7804,258.046,9.88323,2,-15.4147,285.405,-11.2594
28940517.768,0,-48.8935,254.105,10.1961,1,25.2806,258.659,9.45514,2,-14.966,285.896,-11.5388
28940542.434,0,-48.5892,254.627,9.67871,1,25.4474,259.458,9.30501,2,-14.65,286.295,-11.8412
28940565.685,0,-48.4426,255.215,8.91606,1,25.658,260.253,8.7471,2,-14.4509,287.24,-12.398
28940589.729,0,-48.3632,256.394,8.39545,1,25.8091,260.851,8.0959,2,-14.2525,288.03,-13.3383
28940613.663,0,25.7195,261.545,7.76661,1,-48.3163,257.207,7.75688,2,-14.1086,288.594,-14.0597
28940638.037,0,-48.1966,258.96,7.44405,1,25.7628,262.531,7.03462,2,-14.0395,289.882,-14.754
28940649.753,0,-48.2291,259.515,7.08528,1,25.6106,262.824,6.76607,2,-14.0078,290.111,-15.2684
28940661.699,0,-48.2793,260.285,6.74409,1,25.7175,263.373,6.2683,2,-14.0812,290.872,-15.279
28940697.749,0,-48.5613,262.039,5.6931,1,25.5853,264.237,5.15002,2,-14.361,293.057,-15.6007
28940709.707,0,-48.7596,263.122,5.34241,1,25.3968,264.352,4.85072,2,-14.5094,294.208,-16.1727
28940733.665,0,-48.8263,264.879,4.96839,1,25.1433,266.061,4.34932,2,-14.5997,295.501,-16.954
28940757.778,0,-49.187,266.876,4.27709,1,24.9061,268.154,3.53213,2,-14.8409,297.478,-17.2896
28940781.832,0,-49.3088,268.944,3.99572,1,24.6445,269.428,3.04207,2,-15.0201,299.232,-17.464
28940805.795,0,-49.4242,270.697,3.65384,1,24.6521,270.846,2.41784,2,-15.148,300.782,-17.9568
28940817.702,0,-49.5605,271.851,3.57132,1,24.4757,271.799,2.25886,2,-15.2894,302.035,-17.7523
28940853.814,0,-49.843,274.295,2.72764,1,24.1074,274.236,1.89269,2,-15.5126,304.645,-17.964
28940865.721,0,-49.807,275.173,2.7272,1,24.1172,275.012,1.69114,2,-15.5515,305.276,-17.9376
28940889.69,0,-49.7936,276.431,2.41144,1,23.925,276.608,1.35677,2,-15.6038,307.151,-18.5162
28940913.7,0,-49.8393,277.994,2.38543,1,24.0066,277.212,0.830111,2,-15.6794,308.878,-18.814
28940925.816,0,-49.7617,278.32,2.4016,1,23.9358,277.918,0.837154,2,-15.6698,309.28,-18.8735
28940949.913,0,-49.8174,279.679,2.32076,1,23.8484,278.919,0.905102,2,-15.6228,310.15,-18.7058
28940973.751,0,-49.833,280.554,2.14582,1,23.6903,280.246,1.01609,2,-15.6114,311.245,-18.9431
28940997.868,0,-49.9663,281.749,2.30467,1,23.534,280.887,1.23289,2,-15.7375,312.271,-18.8477
28941021.862,0,-50.532,282.434,2.00569,1,23.3841,282.153,1.06744,2,-16.0666,312.877,-19.209
28941057.769,0,-50.8728,283.839,2.20787,1,23.0996,283.673,1.11528,2,-16.4776,314.278,-19.2515
28941069.828,0,-51.1436,284.3,2.44705,1,22.9438,284.343,1.18074,2,-16.7621,314.278,-19.493
28941106.058,0,-51.6638,285.618,2.93486,1,22.1785,285.628,1.45524,2,-17.4675,315.576,-18.3826
28941117.926,0,-51.8802,286.111,3.12768,1,21.8521,286.219,1.52597,2,-17.7726,315.782,-18.3798
28941275.027,0,-54.5206,293.171,3.66989,1,19.1465,293.444,1.84012,2,-20.7399,323.494,-18.0289
28941370.137,0,-57.4476,298.998,2.88159,1,16.1343,297.842,1.65955,2,-23.6541,329.205,-18.4429
28941430.246,0,-59.4438,303.22,2.22045,1,14.1478,302.18,0.865782,2,-25.5163,332.19,-18.9972
28941526.244,0,-61.7065,308.071,0.783736,1,11.5493,311.096,-1.35441,2,-27.885,336.941,-19.9102
28941585.91,0,-62.9535,311.155,-0.386035,1,10.1688,316.706,-2.41603,2,-29.0549,339.755,-20.6222
28941597.925,0,-63.1699,312.144,-0.671942,1,10.0753,318.487,-3.29424,2,-29.334,341.064,-21.0203
28941621.984,0,-63.3069,312.634,-1.14638,1,9.50929,320.541,-3.9865,2,-29.7496,342.233,-22.3024
28941706.293,0,-64.3103,316.111,-2.53016,1,8.27132,325.95,-5.91164,2,-31.0359,345.345,-23.5238
28941802.493,0,-64.8413,319.179,-3.5384,1,7.41322,329.538,-6.76343,2,-31.5932,347.39,-24.0206
28941898.456,0,-64.6441,322.836,-3.87437,1,7.54323,333.965,-7.57643,2,-31.6548,351.03,-24.9912
28941994.446,0,-64.5012,326.484,-4.06376,1,7.59261,337.242,-7.3172,2,-31.5343,355.279,-25.4137
28942042.984,0,-64.7311,329.961,-3.94547,1,7.47468,339.98,-6.98505,2,-31.5828,357.552,-24.8709
28942114.095,0,-64.9282,332.792,-3.55448,1,7.14362,342.47,-7.03032,2,-32.0772,360.936,-24.0011
28942126.199,0,-65.1075,333.846,-3.30859,1,6.99123,342.656,-6.72975,2,-32.2203,361.346,-24.139
28942140.374,0,-65.4377,335.112,-3.40134,1,7.17808,342.935,-7.47429,2,-32.314,361.902,-23.8399
28942192.832,0,-65.6762,337.898,-2.99067,1,6.90268,343.803,-7.29044,2,-32.543,363.212,-23.7842
28942209.624,0,-65.5082,338.072,-2.51668,1,6.80002,344.254,-7.03238,2,-32.4919,363.339,-23.2734
28942227.555,0,-65.4414,338.139,-2.34403,1,6.72675,345.17,-6.81739,2,-32.4424,364.025,-22.9005
28942259.842,0,-65.6203,339.497,-2.16722,1,6.60975,346.722,-6.19697,2,-32.6062,366.844,-23.0162
28942294.237,0,-65.9978,342.113,-2.2056,1,6.57007,349.895,-6.21194,2,-32.6672,368.387,-22.2623
28942318.168,0,-65.9985,343.408,-1.98215,1,6.50509,351.762,-5.8489,2,-32.8255,370.842,-22.0354
28942342.168,0,-66.0259,344.886,-1.7017,1,6.40966,352.794,-5.37578,2,-32.8187,371.127,-22.1788
28942355.285,0,-65.9668,345.469,-1.57164,1,6.4528,353.927,-5.31554,2,-32.8419,372.394,-22.344
28942378.134,0,-66.0133,347.156,-1.65306,1,6.47274,355.857,-4.92973,2,-32.8501,374.104,-22.3879
28942402.144,0,-66.0089,348.632,-1.18247,1,6.49267,356.794,-4.35425,2,-32.6497,374.917,-21.8037
28942414.164,0,-65.8791,349.195,-0.970522,1,6.50221,356.947,-4.06852,2,-32.4481,374.374,-21.4538
28942450.147,0,-65.6608,350.82,-0.26541,1,6.45865,358.906,-3.23504,2,-32.3468,375.806,-20.651
28942462.148,0,-65.5524,351.337,-0.0452823,1,6.44507,358.856,-2.65768,2,-32.2144,376.692,-20.1732
28942486.161,0,-65.0294,351.907,1.12212,1,6.65491,359.842,-2.44718,2,-32.0102,377.89,-19.2868
28942510.16,0,-65.4248,353.772,0.729452,1,6.76684,360.494,-2.2744,2,-31.913,379.128,-19.2126
28942522.298,0,-65.4224,354.422,0.963825,1,6.72519,361.75,-1.79559,2,-31.9077,379.8,-18.8419
28942546.287,0,-65.5505,355.454,0.710776,1,6.73947,362.904,-1.59019,2,-31.8327,380.311,-18.2988
28942570.301,0,-65.5642,356.113,0.856388,1,6.72302,364.134,-1.20595,2,-31.8165,380.205,-17.8113
28942594.243,0,-65.2416,356.078,1.58837,1,6.61786,363.312,-0.63412,2,-31.7629,381.267,-17.6215
28942618.282,0,-64.9202,355.762,2.54522,1,6.56248,364.554,-0.264147,2,-31.8441,382.288,-17.6038
28942630.269,0,-64.9063,356.073,2.88639,1,6.5353,365.407,-0.225242,2,-31.9488,383.201,-17.7372
28942654.251,0,-64.9565,355.787,3.07356,1,6.34794,366.903,-0.175041,2,-32.1196,384.249,-17.0843
28942690.272,0,-65.7577,358.863,2.51351,1,6.23925,368.914,0.00944719,2,-32.3692,386.213,-16.4966
28942702.289,0,-65.7605,358.217,2.87753,1,6.13692,369.483,-0.0643076,2,-32.6187,387.495,-16.7082
28942726.295,0,-66.4475,359.445,2.28,1,5.73182,370.406,-0.124895,2,-33.1366,388.433,-16.0815
28942750.307,0,-66.8414,359.602,1.96265,1,5.21816,371.314,-0.0403376,2,-33.7278,389.552,-16.2477
28942774.46,0,-67.036,359.519,2.45628,1,4.50295,371.699,0.165801,2,-34.4142,391.428,-16.8667
28942810.312,0,-68.0553,361.655,3.08022,1,3.43838,371.948,-0.305446,2,-35.4271,391.908,-17.0201
28942822.32,0,-68.3122,361.449,3.34148,1,2.97858,371.319,-0.188831,2,-35.7316,392.054,-16.9532
28942846.345,0,-68.9746,362.24,3.45318,1,2.34022,370.693,-0.479108,2,-36.404,392.642,-16.8756
28942870.416,0,-69.6987,363.265,3.4225,1,1.54648,372.877,-0.736523,2,-37.543,396.963,-18.3103
28942894.4,0,-70.0986,363.808,3.91243,1,0.737183,373.325,-0.555213,2,-38.2116,397.34,-18.7896
28942906.379,0,-70.4179,365.038,4.04889,1,0.446754,373.867,-0.90105,2,-38.5877,397.872,-18.6601
28942930.401,0,-70.7802,365.603,4.15328,1,-0.22754,374.203,-0.352108,2,-39.1677,398.07,-18.3498
28942966.205,0,-71.135,366.611,4.37236,1,-0.920264,375.001,-0.0435468,2,-39.6273,398.849,-17.108
28942978.467,0,-71.1406,368.219,4.88594,1,-1.11147,376.181,0.0540066,2,-39.7806,399.287,-16.43
28943002.395,0,-71.4232,369.859,4.62294,1,-1.35688,378.597,-0.297269,2,-39.9381,399.118,-15.8941
28943026.418,0,-71.5694,370.677,4.39317,1,-1.41728,381.573,-0.781834,2,-39.9985,399.31,-15.196
28943038.586,0,-71.6002,371.129,4.51685,1,-1.42598,380.035,-0.608616,2,-40.007,399.559,-15.063
28943062.441,0,-71.4186,373.123,5.44561,1,-1.43091,380.623,-0.0453812,2,-40.017,402.002,-15.2817
28943086.43,0,-71.0271,373.65,6.34198,1,-1.4264,380.585,0.571351,2,-40.0011,403.174,-14.7626
28943110.382,0,-71.1171,375.126,6.6155,1,-1.67389,380.516,1.64716,2,-39.9209,403.96,-14.9509
28943122.524,0,-71.1362,375.862,6.89605,1,-1.77287,381.664,1.96795,2,-39.9579,404.783,-14.6871
28943146.386,0,-71.1147,376.934,7.08602,1,-1.68468,383.889,1.64326,2,-39.8996,405.349,-14.5801
28943170.441,0,-71.1592,378.614,7.47534,1,-1.65322,385.904,1.91465,2,-39.9257,405.811,-13.9419
28943194.409,0,-71.1505,378.795,7.31781,1,-1.64562,388.386,1.49102,2,-39.9961,406.755,-13.6846
28943206.468,0,-71.2382,379.651,7.53634,1,-1.48455,388.489,0.865169,2,-40.1891,408.507,-13.9737
28943230.493,0,-71.2858,380.213,7.739,1,-1.77461,387.547,2.04321,2,-40.179,408.048,-13.3298
28943242.396,0,-71.2712,380.714,7.82181,1,-1.75195,387.503,2.19972,2,-40.1814,409.106,-12.8754
28943255.127,0,-71.1671,380.693,7.84105,1,-1.75963,387.13,2.33425,2,-40.161,409.333,-12.234
28943290.393,0,-70.938,380.903,8.0556,1,-1.77777,388.327,3.18269,2,-40.0236,409.976,-11.5243
28943314.332,0,-70.9976,382.635,8.21993,1,-1.85395,388.072,4.25438,2,-39.8501,409.568,-10.9411
28943342.617,0,-71.0493,384.294,8.36261,1,-1.39552,389.498,3.46358,2,-39.5847,409.539,-9.80007
28943350.398,0,-71.0357,384.832,8.19813,1,-1.23964,389.041,3.45397,2,-39.4998,410.446,-9.81544
28943374.408,0,-71.0682,386.745,8.61297,1,-1.08184,389.742,4.00049,2,-39.2925,411.592,-9.75351
28943398.401,0,-70.8647,386.669,8.29945,1,-1.09417,390.782,4.76948,2,-39.0166,411.476,-8.83155
28943434.544,0,-70.6597,387.696,8.95174,1,-1.25642,392.944,5.39705,2,-38.9141,412.947,-7.76639
28943446.587,0,-70.5221,387.601,9.40638,1,-1.40215,392.319,5.67823,2,-38.7794,411.599,-7.87884
28943470.495,0,-70.818,388.826,9.38365,1,-1.79737,393.6,6.31208,2,-38.8852,412.177,-7.43152
28943494.579,0,-70.8069,388.605,9.287,1,-2.03213,393.2,6.92515,2,-39.076,414.037,-6.87337
28944682.858,0,-86.0391,401.286,40.2906,1,-17.1923,410.14,37.3292,2,-51.5303,434.199,23.1731
28944718.865,0,-90.1748,401.016,48.6215,1,-21.0386,405.673,42.3103,2,-55.0704,429.417,34.7658
28944838.88,0,-62.4612,400.088,108.416,1,-98.4307,377.617,105.07,2,-27.1003,373.705,85.891
28944862.921,0,-61.2757,393.046,120.932,1,-96.7836,367.062,119.179,2,-26.0659,358.195,113.291
28944886.849,0,-23.7682,344.807,133.841,1,-95.6224,358.606,131.118,2,-59.9066,387.584,129.98
28944911.086,0,-91.8099,339.436,155.597,1,-17.9709,328.825,153.364,2,-55.9852,374.126,149.466
28944922.899,0,-89.4829,328.206,167.624,1,-14.4539,319.477,161.746,2,-53.5467,366.067,160.869
28944958.925,0,-83.0927,296.907,193.545,1,-47.8816,339.128,188.86,2,-4.35332,292.77,185.094
28944970.905,0,-77.8495,284.093,201.854,1,-43.1188,324.181,199.513,2,0.842656,282.979,192.251
